NCBI_tax.id;species.name;host.name;disease;human.Hosted;human.Hosted.Source;animal.Pathogenic;animal.Pathogenic.Source;plant.Pathogenic;plant.Pathogenic.Source;version_status;assembly_level;genome_representation;ftp_path;fold1;genbank_assembly_accession;assembly_name;assembly_accession
215250;Acaromyces ingoldii;Mite;;FALSE;;TRUE;Olatinwo, R., So, C. L., & Eberhardt, T. L. (2019). Effect of Acaromyces Ingoldii Secondary Metabolites on the Growth of Brown-Rot (Gloeophyllum Trabeum) and White-Rot (Trametes Versicolor) Fungi. Mycobiology, 47(4), 506–511. https://doi.org/10.1080/12298093.2019.1686944;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/144/295/GCA_003144295.1_Acain1;train;GCA_003144295.1;Acain1;GCA_003144295.1_Acain1_genomic
42363;Aciculosporium take;bamboo;;FALSE;;FALSE;;TRUE;Tsuda, Mitsuya & Shimizu, Kiminori & Matsumura, Keishi & Tanaka, Eiji & Tanaka, Chihiro. (1997). Host Range of Aciculosporium take, the Causal Agent of Witches' Broom of Bamboo Plants. Bulletin of the National Science Museum, Series B. 23. 25-34. ;latest;Contig;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/222/935/GCA_000222935.2_AciTa_1.0;test;GCA_000222935.2;AciTa_1.0;GCA_000222935.2_AciTa_1.0_genomic
5599;Alternaria alternata;Homo sapiens, strawberry, pepper, tomato;;TRUE;Taylor, L. H., Latham, S. M., & Woolhouse, M. E. (2001). Risk factors for human disease emergence. Philosophical transactions of the Royal Society of London. Series B, Biological sciences, 356(1411), 983–989. https://doi.org/10.1098/rstb.2001.0888;FALSE;;TRUE;Sang Woo Kim, Jin Hee Jung, Kabir Lamsal, Yun Seok Kim, Ji Seon Min& Youn Su Lee (2012) Antifungal Effects of Silver Nanoparticles (AgNPs) against Various PlantPathogenic Fungi, Mycobiology, 40:1, 53-58, DOI: 10.5941/MYCO.2012.40.1.05;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/642/055/GCA_001642055.1_Altal1;train;GCA_001642055.1;Altal1;GCA_001642055.1_Altal1_genomic
156630;Alternaria arborescens;tomato, Homo sapiens;;TRUE;Hu, W., Ran, Y., Zhuang, K. et al. Alternaria arborescens Infection in a Healthy Individual and Literature Review of Cutaneous Alternariosis. Mycopathologia 179, 147–152 (2015). https://doi.org/10.1007/s11046-014-9822-9;FALSE;;TRUE;Hu, J., Chen, C., Peever, T. et al. Genomic characterization of the conditionally dispensable chromosome in Alternaria arborescens provides evidence for horizontal gene transfer. BMC Genomics 13, 171 (2012). https://doi.org/10.1186/1471-2164-13-171;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/154/835/GCA_004154835.1_ASM415483v1;train;GCA_004154835.1;ASM415483v1;GCA_004154835.1_ASM415483v1_genomic
29911;Alternaria brassicae;broccoli, cabbage, oil seed rape;;FALSE;;FALSE;;TRUE;Nowicki, M., Nowakowska, M., Niezgoda, A., & Kozik, E. (2012). Alternaria Black Spot of Crucifers: Symptoms, Importance of Disease, and Perspectives of Resistance Breeding. Vegetable Crops Research Bulletin, 76(1). doi: 10.2478/v10032-012-0001-6;latest;Chromosome;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/936/725/GCA_004936725.1_ASM493672v1;train;GCA_004936725.1;ASM493672v1;GCA_004936725.1_ASM493672v1_genomic
29001;Alternaria brassicicola;Cauliflower, radish, cabbage, kale;;FALSE;;FALSE;;TRUE;[Cho Y. (2015). How the necrotrophic fungus Alternaria brassicicola kills plant cells remains an enigma. Eukaryotic cell, 14(4), 335–344. https://doi.org/10.1128/EC.00226-14], [Sang Woo Kim, Jin Hee Jung, Kabir Lamsal, Yun Seok Kim, Ji Seon Min& Youn Su Lee (2012) Antifungal Effects of Silver Nanoparticles (AgNPs) against Various PlantPathogenic Fungi, Mycobiology, 40:1, 53-58, DOI: 10.5941/MYCO.2012.40.1.05];latest;Contig;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/796/735/GCA_002796735.1_ASM279673v1;train;GCA_002796735.1;ASM279673v1;GCA_002796735.1_ASM279673v1_genomic
48100;Alternaria solani;Pepper, tomato, eggplant, potato;;FALSE;;FALSE;;TRUE;Sang Woo Kim, Jin Hee Jung, Kabir Lamsal, Yun Seok Kim, Ji Seon Min& Youn Su Lee (2012) Antifungal Effects of Silver Nanoparticles (AgNPs) against Various PlantPathogenic Fungi, Mycobiology, 40:1, 53-58, DOI: 10.5941/MYCO.2012.40.1.05;latest;Complete Genome;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/155/GCA_002952155.1_ASM295215v1;test;GCA_002952155.1;ASM295215v1;GCA_002952155.1_ASM295215v1_genomic
119927;Alternaria tenuissima;Homo sapiens;;TRUE;Taylor, L. H., Latham, S. M., & Woolhouse, M. E. (2001). Risk factors for human disease emergence. Philosophical transactions of the Royal Society of London. Series B, Biological sciences, 356(1411), 983–989. https://doi.org/10.1098/rstb.2001.0888;FALSE;;FALSE;;latest;Contig;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/156/035/GCA_004156035.1_ASM415603v1;train;GCA_004156035.1;ASM415603v1;GCA_004156035.1_ASM415603v1_genomic
90269;Apophysomyces elegans;Homo sapiens;;TRUE;Taylor, L. H., Latham, S. M., & Woolhouse, M. E. (2001). Risk factors for human disease emergence. Philosophical transactions of the Royal Society of London. Series B, Biological sciences, 356(1411), 983–989. https://doi.org/10.1098/rstb.2001.0888;FALSE;;FALSE;;latest;Contig;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/696/995/GCA_000696995.1_ApoEleB7760-1.0;train;GCA_000696995.1;ApoEleB7760-1.0;GCA_000696995.1_ApoEleB7760-1.0_genomic
760013;Apophysomyces variabilis;Homo sapiens;;TRUE;Guarro, J., Chander, J., Álvarez, E., Stchigel, A.M., Robin, K., Dalal, U., Rani, H., Punia, R.S. & Cano J.F. 2011. Apophysomyces variabilis infections in humans. Emerg. Infect. Dis. 17, 134-135;FALSE;;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/749/535/GCA_002749535.1_ASM274953v1;train;GCA_002749535.1;ASM274953v1;GCA_002749535.1_ASM274953v1_genomic
